Barcodes,Bio Sample
bc1002--bc1050,bcp1-A01-bc1002--bc1050
bc1002--bc1051,bcp1-A02-bc1002--bc1051
bc1002--bc1052,bcp1-A03-bc1002--bc1052
bc1002--bc1053,bcp1-A04-bc1002--bc1053
bc1002--bc1054,bcp1-A05-bc1002--bc1054
bc1002--bc1055,bcp1-A06-bc1002--bc1055
bc1002--bc1056,bcp1-A07-bc1002--bc1056
bc1002--bc1057,bcp1-A08-bc1002--bc1057
bc1002--bc1058,bcp1-A09-bc1002--bc1058
bc1002--bc1059,bcp1-A10-bc1002--bc1059
bc1002--bc1060,bcp1-A11-bc1002--bc1060
bc1002--bc1061,bcp1-A12-bc1002--bc1061
bc1002--bc1062,bcp2-A01-bc1002--bc1062
bc1002--bc1063,bcp2-A02-bc1002--bc1063
bc1002--bc1064,bcp2-A03-bc1002--bc1064
bc1002--bc1065,bcp2-A04-bc1002--bc1065
bc1002--bc1066,bcp2-A05-bc1002--bc1066
bc1002--bc1067,bcp2-A06-bc1002--bc1067
bc1002--bc1068,bcp2-A07-bc1002--bc1068
bc1002--bc1069,bcp2-A08-bc1002--bc1069
bc1002--bc1070,bcp2-A09-bc1002--bc1070
bc1002--bc1071,bcp2-A10-bc1002--bc1071
bc1002--bc1072,bcp2-A11-bc1002--bc1072
bc1002--bc1073,bcp2-A12-bc1002--bc1073
bc1003--bc1050,bcp1-B01-bc1003--bc1050
bc1003--bc1051,bcp1-B02-bc1003--bc1051
bc1003--bc1052,bcp1-B03-bc1003--bc1052
bc1003--bc1053,bcp1-B04-bc1003--bc1053
bc1003--bc1054,bcp1-B05-bc1003--bc1054
bc1003--bc1055,bcp1-B06-bc1003--bc1055
bc1003--bc1056,bcp1-B07-bc1003--bc1056
bc1003--bc1057,bcp1-B08-bc1003--bc1057
bc1003--bc1058,bcp1-B09-bc1003--bc1058
bc1003--bc1059,bcp1-B10-bc1003--bc1059
bc1003--bc1060,bcp1-B11-bc1003--bc1060
bc1003--bc1061,bcp1-B12-bc1003--bc1061
bc1003--bc1062,bcp2-B01-bc1003--bc1062
bc1003--bc1063,bcp2-B02-bc1003--bc1063
bc1003--bc1064,bcp2-B03-bc1003--bc1064
bc1003--bc1065,bcp2-B04-bc1003--bc1065
bc1003--bc1066,bcp2-B05-bc1003--bc1066
bc1003--bc1067,bcp2-B06-bc1003--bc1067
bc1003--bc1068,bcp2-B07-bc1003--bc1068
bc1003--bc1069,bcp2-B08-bc1003--bc1069
bc1003--bc1070,bcp2-B09-bc1003--bc1070
bc1003--bc1071,bcp2-B10-bc1003--bc1071
bc1003--bc1072,bcp2-B11-bc1003--bc1072
bc1003--bc1073,bcp2-B12-bc1003--bc1073
bc1004--bc1050,bcp1-C01-bc1004--bc1050
bc1004--bc1051,bcp1-C02-bc1004--bc1051
bc1004--bc1052,bcp1-C03-bc1004--bc1052
bc1004--bc1053,bcp1-C04-bc1004--bc1053
bc1004--bc1054,bcp1-C05-bc1004--bc1054
bc1004--bc1055,bcp1-C06-bc1004--bc1055
bc1004--bc1056,bcp1-C07-bc1004--bc1056
bc1004--bc1057,bcp1-C08-bc1004--bc1057
bc1004--bc1058,bcp1-C09-bc1004--bc1058
bc1004--bc1059,bcp1-C10-bc1004--bc1059
bc1004--bc1060,bcp1-C11-bc1004--bc1060
bc1004--bc1061,bcp1-C12-bc1004--bc1061
bc1004--bc1062,bcp2-C01-bc1004--bc1062
bc1004--bc1063,bcp2-C02-bc1004--bc1063
bc1004--bc1064,bcp2-C03-bc1004--bc1064
bc1004--bc1065,bcp2-C04-bc1004--bc1065
bc1004--bc1066,bcp2-C05-bc1004--bc1066
bc1004--bc1067,bcp2-C06-bc1004--bc1067
bc1004--bc1068,bcp2-C07-bc1004--bc1068
